x;gen;L;D;N;phi;theta;alv_frac;h_ep_u;h_ep_l;h_sub_u;h_sub_l;h_tb;h_al
0.407;1;0.814;0.1636;1;0;0;0;0.00055;3.61E-06;0.005;2.20E-05;1.10E-04;7.00E-07
0.991;2;0.355;0.126973134;2;0.34906585;0.575958653;0;0.00055;3.61E-06;0.005;2.20E-05;1.10E-04;7.00E-07
1.241;3;0.145;0.091974129;4;0.541052068;0.593411946;0;0.00055;3.61E-06;0.005;2.20E-05;1.10E-04;7.00E-07
1.353;4;0.0785;0.06731204;8;0.750491578;0.383972435;0;0.00055;3.61E-06;0.005;2.20E-05;1.10E-04;7.00E-07
1.433;5;0.0810;0.052986866;16;0.680678408;0.34906585;0;0.00055;3.61E-06;0.005;2.20E-05;1.10E-04;7.00E-07
1.514;6;0.0822;0.046719602;32;0.680678408;0.314159265;0;0.00055;3.61E-06;0.005;2.20E-05;1.10E-04;7.00E-07
1.592;7;0.0724;0.03540597;64;0.698131701;0.331612558;0;0.00055;3.61E-06;0.00425;2.20E-05;1.10E-04;7.00E-07
1.667;8;0.0783;0.030359602;128;0.628318531;0.383972435;0;0.00055;3.61E-06;0.0026;2.20E-05;1.10E-04;7.00E-07
1.741;9;0.0706;0.026208557;256;0.680678408;0.488692191;0;0.00015;3.61E-06;0.00095;2.20E-05;1.10E-04;7.00E-07
1.804;10;0.0543;0.02091801;512;0.785398163;0.383972435;0;0.00015;3.61E-06;0.0002;2.20E-05;6.00E-05;7.00E-07
1.854;11;0.0453;0.016115821;1024;0.750491578;0.575958653;0;0.00015;3.61E-06;0.0002;2.20E-05;6.00E-05;7.00E-07
1.894;12;0.0363;0.012697313;2048;0.785398163;0.593411946;0;0.00015;3.61E-06;0.0002;2.20E-05;6.00E-05;7.00E-07
1.927;13;0.0292;0.009604378;4096;0.785398163;0.645771823;0;0.00015;3.61E-06;0.0002;2.20E-05;6.00E-05;7.00E-07
1.953;14;0.0224;0.007488159;8192;1.047197551;0.680678408;0;0.00015;3.61E-06;0.0002;2.20E-05;6.00E-05;7.00E-07
1.973;15;0.0173;0.005941692;16384;1.047197551;0.680678408;0;0.00015;3.61E-06;0.000172188;2.20E-05;6.00E-05;7.00E-07
1.988;16;0.0137;0.004883582;32768;1.047197551;0.890117919;0;0.00015;3.61E-06;0.000111;2.20E-05;6.00E-05;7.00E-07
2.000;17;0.0109;0.004395224;65536;1.047197551;0.785398163;0;0.00015;3.61E-06;4.98E-05;2.20E-05;6.00E-05;7.00E-07
2.011;18;0.0098;0.004069652;131072;1.047197551;0.785398163;0.002;0.00015;3.61E-06;2.20E-05;2.20E-05;6.00E-05;7.00E-07
2.019;19;0.00749;0.003825473;262144;1.047197551;0.785398163;0.007;0.00015;3.61E-06;2.20E-05;2.20E-05;6.00E-05;7.00E-07
2.026;20;0.00651;0.003662687;524288;1.047197551;0.785398163;0.02;0.00015;3.61E-06;2.20E-05;2.20E-05;6.00E-05;7.00E-07
2.033;21;0.00570;0.003581294;1048576;1.047197551;0.785398163;0.07;0.00015;3.61E-06;2.20E-05;2.20E-05;6.00E-05;7.00E-07
2.038;22;0.00513;0.003581294;2097152;1.047197551;0.785398163;0.139;0.00015;3.61E-06;2.20E-05;2.20E-05;6.00E-05;7.00E-07
2.043;23;0.00464;0.0034999;4194304;1.047197551;0.785398163;0.282;0.00015;3.61E-06;2.20E-05;2.20E-05;6.00E-05;7.00E-07
2.047;24;0.00431;0.0034999;8388608;1.047197551;0.785398163;0.48;0.00015;3.61E-06;2.20E-05;2.20E-05;6.00E-05;7.00E-07
;;;;;;;;;;;;;
